,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,Est. Payroll,Year,yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Covered,RoofType
199,OAK,1679013,20729,27.7,27.9,95,95,61202500,2012,2012,AL,OAK,W,1,162,81,94,68,False,Open
200,PHI,3565718,44021,31.1,29.1,102,102,171501558,2012,2012,NL,PHI,E,3,162,81,81,81,False,Open
201,PIT,2091918,25826,27.6,30.2,95,95,70077000,2012,2012,NL,PIT,C,4,162,81,79,83,False,Open
202,SDP,2123721,26219,27.4,28.0,91,91,55494700,2012,2012,NL,SDP,W,4,162,81,76,86,False,Open
203,SEA,1721920,21258,27.0,27.9,92,93,78235600,2012,2012,AL,SEA,W,4,162,81,75,87,True,Retractable
204,SFG,3377371,41696,27.8,30.0,89,89,117637350,2012,2012,NL,SFG,W,1,162,81,94,68,False,Open
205,STL,3262109,40273,29.2,28.6,98,96,112071000,2012,2012,NL,STL,C,2,162,81,88,74,False,Open
206,TBD,1559681,19255,29.7,28.1,95,94,63368700,2012,2012,AL,TBD,E,3,162,81,90,72,True,Fixed
207,TEX,3460280,42720,29.7,28.8,109,107,124119900,2012,2012,AL,TEX,W,2,162,81,93,69,False,Open
208,TOR,2099663,25922,27.8,27.8,102,103,82352700,2012,2012,AL,TOR,E,4,162,81,73,89,True,Retractable
209,WSN,2370794,29269,27.2,27.0,101,101,92386000,2012,2012,NL,WSN,E,1,162,81,98,64,False,Open
210,ARI,2134895,26357,28.1,27.6,102,103,80060500,2013,2013,NL,ARI,W,2,162,81,81,81,True,Retractable
211,ATL,2548679,31465,26.8,27.2,101,100,95618750,2013,2013,NL,ATL,E,1,162,81,96,66,False,Open
212,BAL,2357561,29106,27.8,27.9,103,102,100832000,2013,2013,AL,BAL,E,3,162,81,85,77,False,Open
213,BOS,2833333,34979,29.6,30.2,103,103,175395500,2013,2013,AL,BOS,E,1,162,81,97,65,False,Open
214,CHC,2642682,32626,27.9,28.7,102,103,67874166,2013,2013,NL,CHC,C,5,162,81,66,96,False,Open
215,CHW,1768413,21832,29.2,27.1,104,105,81401900,2013,2013,AL,CHW,C,5,162,81,63,99,False,Open
